# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.referrers.ms,1773245509914000000,1773245570114000000,0
jps.facet.change.listener.process.change.events.ms,1773245509914000000,1773245570114000000,2
workspaceModel.save.cache.to.file.ms,1773245509914000000,1773245570114000000,305
workspaceModel.mutableEntityStorage.entities.ms,1773245509914000000,1773245570114000000,1
jps.global.handle.before.change.events.ms,1773245509914000000,1773245570114000000,0
jps.global.initialize.library.bridges.ms,1773245509914000000,1773245570114000000,1
jps.module.iml.entities.serializer.load.entities.ms,1773245509914000000,1773245570114000000,120
jps.project.serializers.save.ms,1773245509914000000,1773245570114000000,0
workspaceModel.do.save.caches.ms,1773245509914000000,1773245570114000000,378
workspaceModel.moduleBridge.facet.initialization.ms,1773245509914000000,1773245570114000000,2
workspaceModel.load.cache.from.file.ms,1773245509914000000,1773245570114000000,1865
workspaceModel.orphan.listener.update.ms,1773245509914000000,1773245570114000000,10
workspaceModel.moduleBridge.before.changed.ms,1773245509914000000,1773245570114000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1773245509914000000,1773245570114000000,10
jps.load.project.to.empty.storage.ms,1773245509914000000,1773245570114000000,546
jps.facet.change.listener.init.bridge.ms,1773245509914000000,1773245570114000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1773245509914000000,1773245570114000000,5
jps.app.storage.content.reader.load.component.ms,1773245509914000000,1773245570114000000,10
jps.global.get.library.by.name.ms,1773245509914000000,1773245570114000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1773245509914000000,1773245570114000000,233
jps.global.handle.changed.events.ms,1773245509914000000,1773245570114000000,0
jps.save.changed.project.entities.ms,1773245509914000000,1773245570114000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1773245509914000000,1773245570114000000,20
workspaceModel.moduleManagerBridge.create.module.instance.ms,1773245509914000000,1773245570114000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1773245509914000000,1773245570114000000,1108
jps.global.get.libraries.ms,1773245509914000000,1773245570114000000,0
jps.save.global.entities.ms,1773245509914000000,1773245570114000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1773245509914000000,1773245570114000000,0
