# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushingTimeUs,1773240355501000000,1773240415703000000,1075837
IndexesFlusher.totalFlushesRetried,1773240355501000000,1773240415703000000,2
IndexesFlusher.totalContentionQuotaSpent,1773240355501000000,1773240415703000000,67
IndexesFlusher.totalFlushes,1773240355501000000,1773240415703000000,34
writeAction.median.wait.ms,1773240355501000000,1773240415703000000,0
writeAction.wait.ms,1773240355501000000,1773240415703000000,0
writeAction.count,1773240355501000000,1773240415703000000,1
writeAction.max.wait.ms,1773240355501000000,1773240415703000000,0
VFS.fileChildByName,1773240355501000000,1773240415703000000,9
FileNameCache.queries,1773240355501000000,1773240415703000000,0
VFS.fileByIdCache.misses,1773240355501000000,1773240415703000000,0
VFS.fileByIdCache.hits,1773240355501000000,1773240415703000000,0
FileNameCache.totalMisses,1773240355501000000,1773240415703000000,0
VFS.invertedFileNameIndex.requests,1773240355501000000,1773240415703000000,0
ReadAction.executionsCount,1773240355501000000,1773240415703000000,34
AWTEventQueue.eventsDispatched,1773240355501000000,1773240415703000000,124
FlushQueue.executionTimeAvgNs,1773240355501000000,1773240415703000000,2.940472776E8
WriteAction.executionsCount,1773240355501000000,1773240415703000000,1
AWTEventQueue.dispatchTimeTotalNS,1773240355501000000,1773240415703000000,25361265216
AWTEventQueue.dispatchTimeMaxNs,1773240355501000000,1773240415703000000,22951231487
FlushQueue.queueSizeAvg,1773240355501000000,1773240415703000000,4.3125
FlushQueue.executionTime90PNs,1773240355501000000,1773240415703000000,14942207
FlushQueue.queueSize90P,1773240355501000000,1773240415703000000,13
FlushQueue.executionTimeMaxNs,1773240355501000000,1773240415703000000,22817013759
FlushQueue.waitingTime90PNs,1773240355501000000,1773240415703000000,3657433087
FlushQueue.waitingTimeMaxNs,1773240355501000000,1773240415703000000,24293408767
FlushQueue.waitingTimeAvgNs,1773240355501000000,1773240415703000000,2.3654415104E9
AWTEventQueue.dispatchTime90PNs,1773240355501000000,1773240415703000000,29753343
FlushQueue.queueSizeMax,1773240355501000000,1773240415703000000,19
FlushQueue.tasksExecuted,1773240355501000000,1773240415703000000,80
AWTEventQueue.dispatchTimeAvgNs,1773240355501000000,1773240415703000000,2.042244830967742E8
cacheStateStorage.get.duration,1773240355501000000,1773240415703000000,0
cacheStateStorage.set.counter,1773240355501000000,1773240415703000000,0
cacheStateStorage.get.counter,1773240355501000000,1773240415703000000,2
cacheStateStorage.set.duration,1773240355501000000,1773240415703000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1773240355501000000,1773240415703000000,0
StreamlinedBlobStorage.recordsAllocated,1773240355501000000,1773240415703000000,13
FilePageCache.disposedBuffers,1773240355501000000,1773240415703000000,5
StorageLockContext.competingThreads.max,1773240355501000000,1773240415703000000,2
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773240355501000000,1773240415703000000,0
FilePageCache.maxCacheSizeInBytes,1773240355501000000,1773240415703000000,204488704
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1773240355501000000,1773240415703000000,96
StreamlinedBlobStorage.recordsDeleted,1773240355501000000,1773240415703000000,0
FilePageCache.capacityInBytes,1773240355501000000,1773240415703000000,503316478
FilePageCacheLockFree.totalPagesRequestsMs,1773240355501000000,1773240415703000000,0
DirectByteBufferAllocator.disposed,1773240355501000000,1773240415703000000,0
StorageLockContext.competingThreads.90P,1773240355501000000,1773240415703000000,1
FilePageCacheLockFree.totalPageAllocationsWaited,1773240355501000000,1773240415703000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1773240355501000000,1773240415703000000,0
FilePageCache.pageHits,1773240355501000000,1773240415703000000,0
FilePageCacheLockFree.totalBytesWritten,1773240355501000000,1773240415703000000,0
FilePageCacheLockFree.totalPagesRequested,1773240355501000000,1773240415703000000,0
FilePageCacheLockFree.totalPagesWritten,1773240355501000000,1773240415703000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1773240355501000000,1773240415703000000,0
DirectByteBufferAllocator.reclaimed,1773240355501000000,1773240415703000000,5
MappedFileStorage.storages,1773240355501000000,1773240415703000000,6
MappedFileStorage.totalTimeSpentOnMappingUs,1773240355501000000,1773240415703000000,15681000
FilePageCacheLockFree.housekeeperTimeSpentMs,1773240355501000000,1773240415703000000,0
FilePageCache.totalPageDisposalsUs,1773240355501000000,1773240415703000000,30975
StorageLockContext.competingThreads.avg,1773240355501000000,1773240415703000000,0.2222222222222222
FilePageCacheLockFree.totalNativeBytesReclaimed,1773240355501000000,1773240415703000000,0
FilePageCacheLockFree.totalPagesWriteMs,1773240355501000000,1773240415703000000,0
FilePageCacheLockFree.nativeBytesInUse,1773240355501000000,1773240415703000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1773240355501000000,1773240415703000000,0
FilePageCacheLockFree.totalPagesHandedOver,1773240355501000000,1773240415703000000,0
FilePageCacheLockFree.totalPagesReadMs,1773240355501000000,1773240415703000000,0
FilePageCache.uncachedFileAccess,1773240355501000000,1773240415703000000,339
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1773240355501000000,1773240415703000000,910
StreamlinedBlobStorage.recordsRelocated,1773240355501000000,1773240415703000000,0
MappedFileStorage.totalBytesMapped,1773240355501000000,1773240415703000000,164626432
