# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.JAVA.size.bytes,1773244964015000000,1773245024102000000,6914
writeAction.wait.ms,1773244964015000000,1773245024102000000,132
lexer.JAVA.size.bytes,1773244964015000000,1773245024102000000,6914
lexer.JAVA.time.ns,1773244964015000000,1773245024102000000,26037148
writeAction.median.wait.ms,1773244964015000000,1773245024102000000,100
writeAction.count,1773244964015000000,1773245024102000000,10
parser.JAVA.time.ns,1773244964015000000,1773245024102000000,559976743
writeAction.max.wait.ms,1773244964015000000,1773245024102000000,132
Indexes.stubs.lookups,1773244964015000000,1773245024102000000,0.0
IndexesFlusher.totalFlushingTimeUs,1773244964015000000,1773245024102000000,2775159
IndexesFlusher.totalContentionQuotaSpent,1773244964015000000,1773245024102000000,32
Indexes.allKeys.lookupDurationMaxMs,1773244964015000000,1773245024102000000,0.0
Indexes.entries.lookupDuration90PMs,1773244964015000000,1773245024102000000,0.0
Indexes.entries.lookupDurationMaxMs,1773244964015000000,1773245024102000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1773244964015000000,1773245024102000000,0.0
Indexes.entries.lookupDurationAvgMs,1773244964015000000,1773245024102000000,0.0
IndexesFlusher.totalFlushes,1773244964015000000,1773245024102000000,75
Indexes.stubs.lookupDurationAvgMs,1773244964015000000,1773245024102000000,0.0
Indexes.stubs.lookupDuration90PMs,1773244964015000000,1773245024102000000,0.0
Indexes.allKeys.lookups,1773244964015000000,1773245024102000000,0.0
Indexes.entries.lookups,1773244964015000000,1773245024102000000,0.0
Indexes.stubs.lookupDurationMaxMs,1773244964015000000,1773245024102000000,0.0
IndexesFlusher.totalFlushesRetried,1773244964015000000,1773245024102000000,2
Indexes.allKeys.lookupDuration90PMs,1773244964015000000,1773245024102000000,0.0
cacheStateStorage.set.counter,1773244964015000000,1773245024102000000,3
cacheStateStorage.get.counter,1773244964015000000,1773245024102000000,20
cacheStateStorage.get.duration,1773244964015000000,1773245024102000000,519
cacheStateStorage.set.duration,1773244964015000000,1773245024102000000,8
compiler.ArtifactManagerBridge.addArtifact.ms,1773244964015000000,1773245024102000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1773244964015000000,1773245024102000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1773244964015000000,1773245024102000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1773244964015000000,1773245024102000000,1
compiler.ArtifactManagerBridge.findArtifact.ms,1773244964015000000,1773245024102000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1773244964015000000,1773245024102000000,2
compiler.ArtifactManagerBridge.commit.ms,1773244964015000000,1773245024102000000,0
JVM.threadCount,1773244964015000000,1773245024102000000,114
JVM.usedNativeBytes,1773244964015000000,1773245024102000000,337842056
JVM.GC.collections,1773244964015000000,1773245024102000000,36
JVM.totalBytesAllocated,1773244964015000000,1773245024102000000,5560522128
JVM.GC.collectionTimesMs,1773244964015000000,1773245024102000000,2370
JVM.newThreadsCount,1773244964015000000,1773245024102000000,125
JVM.maxHeapBytes,1773244964015000000,1773245024102000000,2147483648
OS.loadAverage,1773244964015000000,1773245024102000000,36.26513671875
JVM.maxThreadCount,1773244964015000000,1773245024102000000,116
JVM.totalDirectByteBuffersBytes,1773244964015000000,1773245024102000000,253314400
JVM.usedHeapBytes,1773244964015000000,1773245024102000000,751821312
JVM.totalCpuTimeMs,1773244964015000000,1773245024102000000,135859
VFS.fileChildByName,1773244964015000000,1773245024102000000,2209
FileNameCache.queries,1773244964015000000,1773245024102000000,0
